"quantitySum","d","side"
"97235.115424","2019-11-16 00:00:00","sell"
"113171.7084090001","2019-11-17 00:00:00","sell"
"154755.83963400053","2019-11-18 00:00:00","sell"
"159915.05249400012","2019-11-19 00:00:00","sell"
"122709.84572900012","2019-11-20 00:00:00","sell"
"261534.7401310002","2019-11-21 00:00:00","sell"
"521384.20681200054","2019-11-22 00:00:00","sell"
"214062.0840579998","2019-11-23 00:00:00","sell"
"203109.15294499983","2019-11-24 00:00:00","sell"
"429631.17739300075","2019-11-25 00:00:00","sell"
"205972.35365100025","2019-11-26 00:00:00","sell"
"337593.98223800096","2019-11-27 00:00:00","sell"
"187707.34825399998","2019-11-28 00:00:00","sell"
"203168.67856000032","2019-11-29 00:00:00","sell"
"138820.51212700014","2019-11-30 00:00:00","sell"
"203969.45710200025","2019-12-01 00:00:00","sell"
"138194.57571500016","2019-12-02 00:00:00","sell"
"116908.25534400006","2019-12-03 00:00:00","sell"
"253303.56515900034","2019-12-04 00:00:00","sell"
"190605.56336900056","2019-12-05 00:00:00","sell"
"144839.07687400057","2019-12-06 00:00:00","sell"
"89918.99878199995","2019-12-07 00:00:00","sell"
"129242.60673000003","2019-12-08 00:00:00","sell"
"136959.067197","2019-12-09 00:00:00","sell"
"121653.60871300052","2019-12-10 00:00:00","sell"
"97954.13829400031","2019-12-11 00:00:00","sell"
"148693.07835599995","2019-12-12 00:00:00","sell"
"96550.09812600006","2019-12-13 00:00:00","sell"
"74125.43939100007","2019-12-14 00:00:00","sell"
"87017.57062600004","2019-12-15 00:00:00","sell"
"237229.42013100028","2019-12-16 00:00:00","sell"
"298924.75179100037","2019-12-17 00:00:00","sell"
"519388.31521700165","2019-12-18 00:00:00","sell"
"231946.2121820002","2019-12-19 00:00:00","sell"
"126396.34035900029","2019-12-20 00:00:00","sell"
"75078.26331199995","2019-12-21 00:00:00","sell"
"151533.49256200038","2019-12-22 00:00:00","sell"
"228175.45557200038","2019-12-23 00:00:00","sell"
"122161.23476600013","2019-12-24 00:00:00","sell"
"112996.18509100002","2019-12-25 00:00:00","sell"
"147297.87779500053","2019-12-26 00:00:00","sell"
"132721.39892800016","2019-12-27 00:00:00","sell"
"109889.42132200021","2019-12-28 00:00:00","sell"
"170769.7585280002","2019-12-29 00:00:00","sell"
"167597.43724400023","2019-12-30 00:00:00","sell"
"143605.95743700012","2019-12-31 00:00:00","sell"
"80794.89436499997","2020-01-01 00:00:00","sell"
"120972.17326000008","2020-01-02 00:00:00","sell"
"263494.7515830005","2020-01-03 00:00:00","sell"
"102179.05780800014","2020-01-04 00:00:00","sell"
"146241.8901340002","2020-01-05 00:00:00","sell"
"228398.66624000046","2020-01-06 00:00:00","sell"
"270256.00318900053","2020-01-07 00:00:00","sell"
"337169.31162400066","2020-01-08 00:00:00","sell"
"217534.55022400033","2020-01-09 00:00:00","sell"
"254757.16023700038","2020-01-10 00:00:00","sell"
"217697.2462540003","2020-01-11 00:00:00","sell"
"132087.13898400005","2020-01-12 00:00:00","sell"
"114615.90030100002","2020-01-13 00:00:00","sell"
"186998.06690600034","2020-01-14 00:00:00","sell"
"42493.551025999994","2020-01-15 00:00:00","sell"
"25996.301350000005","2020-01-16 00:00:00","sell"
"36139.80884499994","2020-01-17 00:00:00","sell"
"19419.011372999998","2020-01-18 00:00:00","sell"
"33655.9432409999","2020-01-19 00:00:00","sell"
"19453.863781999975","2020-01-20 00:00:00","sell"
"18731.733889999996","2020-01-21 00:00:00","sell"
"14477.157511999998","2020-01-22 00:00:00","sell"
"23275.21935199999","2020-01-23 00:00:00","sell"
"21293.489586000014","2020-01-24 00:00:00","sell"
"13076.411756999996","2020-01-25 00:00:00","sell"
"15797.911266999996","2020-01-26 00:00:00","sell"
"28591.587748000013","2020-01-27 00:00:00","sell"
"38852.36324599991","2020-01-28 00:00:00","sell"
"26615.65132899993","2020-01-29 00:00:00","sell"
"30852.555449999967","2020-01-30 00:00:00","sell"
"22482.470899000004","2020-01-31 00:00:00","sell"
"14679.126304999987","2020-02-01 00:00:00","sell"
"22588.406059999987","2020-02-02 00:00:00","sell"
"24781.397695999978","2020-02-03 00:00:00","sell"
"26103.432306999985","2020-02-04 00:00:00","sell"
"35375.60520199991","2020-02-05 00:00:00","sell"
"32143.454646999988","2020-02-06 00:00:00","sell"
"22733.988186000013","2020-02-07 00:00:00","sell"
"22792.466396999993","2020-02-08 00:00:00","sell"
"22408.27732699996","2020-02-09 00:00:00","sell"
"28618.88324499999","2020-02-10 00:00:00","sell"
"31905.31641999994","2020-02-11 00:00:00","sell"
"31127.760352","2020-02-12 00:00:00","sell"
"38475.27254799996","2020-02-13 00:00:00","sell"
"23686.881136999968","2020-02-14 00:00:00","sell"
"27081.343242999985","2020-02-15 00:00:00","sell"
"29406.13683899997","2020-02-16 00:00:00","sell"
"33221.839241","2020-02-17 00:00:00","sell"
"28022.009372999935","2020-02-18 00:00:00","sell"
"403.3031560000002","2020-03-02 00:00:00","sell"
"10029.824496999978","2020-03-03 00:00:00","sell"
"19159.951031999983","2020-03-04 00:00:00","sell"
"30482.082170999984","2020-03-05 00:00:00","sell"
"22296.560506000023","2020-03-06 00:00:00","sell"
"22342.26094499999","2020-03-07 00:00:00","sell"
"34843.60784899994","2020-03-08 00:00:00","sell"
"58020.95792699989","2020-03-09 00:00:00","sell"
"41781.18469399999","2020-03-10 00:00:00","sell"
"38841.34025899996","2020-03-11 00:00:00","sell"
"119835.59583499967","2020-03-12 00:00:00","sell"
"193397.10020399964","2020-03-13 00:00:00","sell"
"21570.90908299996","2020-03-14 00:00:00","sell"
"40376.82790899988","2020-03-18 00:00:00","sell"
"99011.94701099985","2020-03-19 00:00:00","sell"
"104945.74605999979","2020-03-20 00:00:00","sell"
"63390.669215999835","2020-03-21 00:00:00","sell"
"56619.67932099981","2020-03-22 00:00:00","sell"
"18202.66289600001","2020-03-23 00:00:00","sell"
"12561.066927999944","2020-03-29 00:00:00","sell"
"58863.31298299985","2020-03-30 00:00:00","sell"
"34730.90233399996","2020-03-31 00:00:00","sell"
"49161.37019499992","2020-04-01 00:00:00","sell"
"74722.16374800006","2020-04-02 00:00:00","sell"
"51073.89890699992","2020-04-03 00:00:00","sell"
"36419.05668399999","2020-04-04 00:00:00","sell"
"23875.57831199996","2020-04-05 00:00:00","sell"
"59342.422875999895","2020-04-06 00:00:00","sell"
"48811.2677889999","2020-04-07 00:00:00","sell"
"39000.55256499996","2020-04-08 00:00:00","sell"
"28801.89285100004","2020-04-09 00:00:00","sell"
"47958.960804999886","2020-04-10 00:00:00","sell"
"13374.204705999982","2020-04-11 00:00:00","sell"
"31557.468620999956","2020-04-14 00:00:00","sell"
"29866.892249999943","2020-04-15 00:00:00","sell"
"35831.74897199995","2020-04-16 00:00:00","sell"
"18284.99773099993","2020-04-18 00:00:00","sell"
"21519.030975999955","2020-04-19 00:00:00","sell"
"39358.629935999874","2020-04-20 00:00:00","sell"
"25525.259413999982","2020-04-21 00:00:00","sell"
"28123.89413799996","2020-04-22 00:00:00","sell"
"52475.59854099987","2020-04-23 00:00:00","sell"
"29412.509142999923","2020-04-24 00:00:00","sell"
"21108.461460999955","2020-04-25 00:00:00","sell"
"24707.49422499994","2020-04-26 00:00:00","sell"
"31590.18283499994","2020-04-27 00:00:00","sell"
"21305.501359999955","2020-04-28 00:00:00","sell"
"91438.52834799982","2020-04-29 00:00:00","sell"
"99471.37553099987","2020-04-30 00:00:00","sell"
"44763.3544809999","2020-05-01 00:00:00","sell"
"30400.353448999937","2020-05-02 00:00:00","sell"
"40854.626690999954","2020-05-03 00:00:00","sell"
"36124.880490999894","2020-05-04 00:00:00","sell"
"35497.37161699984","2020-05-05 00:00:00","sell"
"51185.17774199983","2020-05-06 00:00:00","sell"
"74788.63003199996","2020-05-07 00:00:00","sell"
"46207.09783199992","2020-05-08 00:00:00","sell"
"34018.7672609999","2020-05-09 00:00:00","sell"
"77522.46680199979","2020-05-10 00:00:00","sell"
"78473.5037919999","2020-05-11 00:00:00","sell"
"40548.255342","2020-05-12 00:00:00","sell"
"44320.476142999956","2020-05-13 00:00:00","sell"
"65192.145685999865","2020-05-14 00:00:00","sell"
"55385.872312999796","2020-05-15 00:00:00","sell"
"28861.368199999924","2020-05-16 00:00:00","sell"
"32734.91990599999","2020-05-17 00:00:00","sell"
"36815.84294799982","2020-05-18 00:00:00","sell"
"34692.89815899984","2020-05-19 00:00:00","sell"
"33481.79667799987","2020-05-20 00:00:00","sell"
"49913.77874499983","2020-05-21 00:00:00","sell"
"28987.31589599991","2020-05-22 00:00:00","sell"
"21377.616331999918","2020-05-23 00:00:00","sell"
"29935.913007999894","2020-05-24 00:00:00","sell"
"28178.445934999898","2020-05-25 00:00:00","sell"
"25909.870480999925","2020-05-26 00:00:00","sell"
"30646.636449999933","2020-05-27 00:00:00","sell"
"36112.524892999856","2020-05-28 00:00:00","sell"
"26819.212893999906","2020-05-29 00:00:00","sell"
"29252.679903999968","2020-05-30 00:00:00","sell"
"22778.001168999883","2020-05-31 00:00:00","sell"
"41382.611773999866","2020-06-01 00:00:00","sell"
"49075.16580899993","2020-06-02 00:00:00","sell"
"22656.30814999997","2020-06-03 00:00:00","sell"
"28778.237370999886","2020-06-04 00:00:00","sell"
"22859.714198999925","2020-06-05 00:00:00","sell"
"15832.69376499996","2020-06-06 00:00:00","sell"
"28424.991485999908","2020-06-07 00:00:00","sell"
"19742.478255999966","2020-06-08 00:00:00","sell"
"21887.34803699988","2020-06-09 00:00:00","sell"
"23125.61482699993","2020-06-10 00:00:00","sell"
"40972.06474899979","2020-06-11 00:00:00","sell"
"24344.816369999928","2020-06-12 00:00:00","sell"
"13531.007213999957","2020-06-13 00:00:00","sell"
"14465.416150999863","2020-06-14 00:00:00","sell"
"41630.74752899988","2020-06-15 00:00:00","sell"
"26123.804605","2020-06-16 00:00:00","sell"
"22842.8312759999","2020-06-17 00:00:00","sell"
"17940.405252999917","2020-06-18 00:00:00","sell"
"22055.969046000002","2020-06-19 00:00:00","sell"
"15125.081768999931","2020-06-20 00:00:00","sell"
