x,dax_TVKDE,nq_TVKDE,dow_TVKDE,crix_TVKDE,snp500_TVKDE,btc_TVKDE,dax_U,nq_U,dow_U,crix_U,snp500_U,btc_U
-8.060030015007506,1.7825247450926125e-16,2.3684757858670006e-16,2.220446049250313e-16,0.004541384615412668,2.220446049250313e-16,0.005982045386268295,2.257453483404485e-16,2.6521994477156517e-16,2.220446049250313e-16,0.004540662387824021,2.220446049250313e-16,0.005986697256581818
-8.031515757878939,2.1536270709163917e-16,2.0477446898641777e-16,2.220446049250313e-16,0.004664463572342957,2.220446049250313e-16,0.006064687062728388,2.2749292161995105e-16,2.1382073066854868e-16,2.220446049250313e-16,0.004663731213450518,2.220446049250313e-16,0.006068908868679739
-8.003001500750376,2.309880681789562e-16,2.3684757858670006e-16,2.220446049250313e-16,0.004793126409484039,2.220446049250313e-16,0.0061494707351030355,2.406511204303233e-16,2.0230730670947297e-16,2.220446049250313e-16,0.004792384204375117,2.220446049250313e-16,0.006153268246698902
-7.974487243621812,2.0734442969156857e-16,2.2039983007373478e-16,2.220446049250313e-16,0.004927206456358487,2.220446049250313e-16,0.006236652978758145,2.3988013221877803e-16,2.3725877229952417e-16,2.220446049250313e-16,0.004926454838523909,2.220446049250313e-16,0.006240033843116074
-7.945972986493246,2.2620794126737565e-16,2.2615654205327265e-16,2.220446049250313e-16,0.005066520459942572,2.220446049250313e-16,0.006326491525268425,2.406511204303233e-16,2.421930968534138e-16,2.220446049250313e-16,0.005065760010203205,2.220446049250313e-16,0.006329463456122298
-7.917458729364682,1.9629359865942003e-16,1.9120507646322142e-16,2.220446049250313e-16,0.00521045947147425,2.220446049250313e-16,0.006418767716759714,2.1849805915192316e-16,2.2615654205327265e-16,2.220446049250313e-16,0.005209690089592285,2.220446049250313e-16,0.006421340926095218
-7.888944472236119,2.320674516751195e-16,2.3684757858670006e-16,2.220446049250313e-16,0.005358671300733948,2.220446049250313e-16,0.006513618874238305,2.4088241689378686e-16,2.0189611299664883e-16,2.220446049250313e-16,0.005357893286516497,2.220446049250313e-16,0.00651580392448593
-7.860430215107552,2.447630575585646e-16,2.2903489804304154e-16,2.220446049250313e-16,0.005511392857586748,2.220446049250313e-16,0.006611011122122483,2.263621389096847e-16,2.528841333868412e-16,2.220446049250313e-16,0.005510606415474565,2.220446049250313e-16,0.0066128197959263195
-7.831915957978989,1.8693894169267103e-16,1.942890293094024e-16,2.220446049250313e-16,0.00566802649402774,2.220446049250313e-16,0.0067107869872248226,2.0875790807940154e-16,2.2882930118662946e-16,2.220446049250313e-16,0.0056672318502512965,2.220446049250313e-16,0.006712232838695364
-7.803401700850426,1.9670479237224417e-16,2.076528249761867e-16,2.220446049250313e-16,0.005828385348443178,2.220446049250313e-16,0.006813323938562716,2.3377647554404484e-16,2.294460917558657e-16,2.220446049250313e-16,0.005827582660393731,2.220446049250313e-16,0.006814421384276759
-7.7748874437218625,2.3169480737287265e-16,2.30474076037926e-16,2.220446049250313e-16,0.005991943424099801,2.220446049250313e-16,0.00691812438547699,2.7618082717903343e-16,2.4692182455089127e-16,2.220446049250313e-16,0.005991132549612844,2.220446049250313e-16,0.0069188873510154306
-7.746373186593296,2.1606944628555564e-16,2.2019423321732272e-16,2.220446049250313e-16,0.0061583396074469795,2.220446049250313e-16,0.007025281252282127,2.276053574008014e-16,2.360251911610518e-16,2.220446049250313e-16,0.006157520765961765,2.220446049250313e-16,0.007025724799428468
-7.717858929464732,2.363175241912627e-16,2.2183900806861925e-16,2.220446049250313e-16,0.006327501758802008,2.220446049250313e-16,0.0071347468515965285,2.4102055228168873e-16,2.2800691376098123e-16,2.220446049250313e-16,0.006326675328092278,2.220446049250313e-16,0.007134886757481592
-7.689344672336169,2.0317145599657993e-16,2.239977750609459e-16,2.220446049250313e-16,0.006498959608090749,2.220446049250313e-16,0.007246573976893423,2.2394958829772434e-16,2.248201624865942e-16,2.220446049250313e-16,0.006498125580956795,2.220446049250313e-16,0.007246425666748834
