"","date","price","returns","returns_abs","returns_sq","returns_cube"
"1771","2019-06-05",18833.2263186572,-6.05089397857052,6.41167167013852,41.1095336056569,-263.580831991998
"1772","2019-06-06",19218.1550628104,2.04388105171268,1.68310336014468,2.8328369209303,4.76795734035969
"1773","2019-06-07",19352.6855330898,0.700017612719402,0.339239921151401,0.115083724102809,0.0390409934904466
"1774","2019-06-08",19797.2843783372,2.29734960808004,1.93657191651204,3.75031078782311,7.26274654989038
"1775","2019-06-09",19462.161922116,-1.69276982548123,2.05354751704923,4.21705740477905,-8.65992776283808
"1776","2019-06-10",18693.134589236,-3.95139725975719,4.31217495132519,18.5948528108364,-80.1842585144677
"1777","2019-06-11",19535.3816219078,4.50564900525986,4.14487131369186,17.1799582070657,71.2087159428917
"1778","2019-06-12",19300.318736777,-1.20326743382986,1.56404512539786,2.4462371542808,-3.82602529672001
"1779","2019-06-13",19912.4048546581,3.17137828773139,2.81060059616339,7.899475711154,22.2022711431477
"1780","2019-06-14",20064.2311404522,0.762470866288078,0.401693174720077,0.161357406616694,0.0648161689284582
"1781","2019-06-15",21043.5245104107,4.88079190826362,4.52001421669562,20.4305285191305,92.3462793610754
"1782","2019-06-16",21342.0318141197,1.41852332560222,1.05774563403422,1.11882582631846,1.18343313303308
"1783","2019-06-17",21801.9154804164,2.15482607420932,1.79404838264132,3.21860959925795,5.77434134590256
"1784","2019-06-18",22461.9155125748,3.02725709009948,2.66647939853148,7.11011238279279,18.9589681899605
"1785","2019-06-19",21866.4359726046,-2.65106303884384,3.01184073041184,9.07118458536774,-27.3209632072946
"1786","2019-06-20",22264.7213106931,1.82144606733121,1.46066837576321,2.13355210395472,3.11641208628971
"1787","2019-06-21",22784.0374946538,2.33246208975131,1.97168439818331,3.88753936603949,7.66500071534351
"1788","2019-06-22",24087.9169527718,5.72277612527609,5.36199843370809,28.751027203088,154.162962830457
"1789","2019-06-23",25544.2966431125,6.04610059556483,5.68532290399683,32.322896522711,183.766103924088
"1790","2019-06-24",25725.588946411,0.709717342510519,0.348939650942518,0.121758879999887,0.0424865010863124
"1791","2019-06-25",26082.7843696457,1.38848297692532,1.02770528535732,1.05617815355136,1.08543987068367
"1792","2019-06-26",27490.2894797922,5.39629929918261,5.03552160761461,25.3564778607537,127.683092160827
"1793","2019-06-27",29733.3762322391,8.15956032072986,7.79878262916186,60.8210104969168,474.329840151425
"1794","2019-06-28",25680.536025263,-13.6306088327155,13.9913865242835,195.758896871901,-2738.9383917021
