x,dax_TVKDE,nq_TVKDE,dow_TVKDE,crix_TVKDE,snp500_TVKDE,btc_TVKDE,dax_U,nq_U,dow_U,crix_U,snp500_U,btc_U
-36.830915457728864,2.4836100254577575e-16,2.220446049250313e-16,2.220446049250313e-16,0.0007915722198523059,2.746774001665202e-16,0.0014576923252167344,2.220446049250313e-16,2.088864061146591e-16,2.220446049250313e-16,0.0007921350670898332,2.3520280373540355e-16,0.0014589081063330915
-36.8024012006003,1.9572820730428687e-16,2.220446049250313e-16,2.220446049250313e-16,0.0008310417553327382,2.4836100254577575e-16,0.001423717096845696,2.3520280373540355e-16,2.220446049250313e-16,2.3520280373540355e-16,0.0008316326673740387,2.088864061146591e-16,0.0014249045410898813
-36.77388694347174,2.220446049250313e-16,2.220446049250313e-16,2.4836100254577575e-16,0.0008709557054235825,2.61519201356148e-16,0.001387886427504497,2.088864061146591e-16,2.220446049250313e-16,2.61519201356148e-16,0.0008715749982695334,2.3520280373540355e-16,0.0013890439873551121
-36.745372686343174,2.088864061146591e-16,2.3520280373540355e-16,2.3520280373540355e-16,0.0009111926628495008,2.3520280373540355e-16,0.0013503817270478305,2.4836100254577575e-16,1.9572820730428687e-16,2.088864061146591e-16,0.0009118405661744186,2.3520280373540355e-16,0.001351508006287423
-36.71685842921461,2.088864061146591e-16,2.220446049250313e-16,2.3520280373540355e-16,0.0009516237715366484,2.3520280373540355e-16,0.001311389107934663,2.088864061146591e-16,2.3520280373540355e-16,2.220446049250313e-16,0.000952300423391706,2.088864061146591e-16,0.0013124828655720236
-36.68834417208604,2.220446049250313e-16,2.4836100254577575e-16,2.61519201356148e-16,0.0009921133030073746,2.220446049250313e-16,0.0012710978608202646,2.4836100254577575e-16,2.3520280373540355e-16,2.220446049250313e-16,0.0009928187449341134,2.4836100254577575e-16,0.0012721580137410693
-36.65982991495748,2.220446049250313e-16,2.4836100254577575e-16,2.3520280373540355e-16,0.00103251932016699,2.220446049250313e-16,0.0012296989429167906,2.4836100254577575e-16,2.088864061146591e-16,2.3520280373540355e-16,0.0010332534927825644,2.3520280373540355e-16,0.0012307245672736806
-36.631315657828914,2.3520280373540355e-16,2.220446049250313e-16,2.4836100254577575e-16,0.0010726944252555375,2.220446049250313e-16,0.001187383495752617,2.220446049250313e-16,2.088864061146591e-16,1.9572820730428687e-16,0.001073457164369969,1.9572820730428687e-16,0.0011883738271188547
-36.60280140070035,2.088864061146591e-16,2.220446049250313e-16,2.3520280373540355e-16,0.001112486587548421,2.4836100254577575e-16,0.0011443414080795386,2.088864061146591e-16,2.220446049250313e-16,2.220446049250313e-16,0.0011132776208703406,2.088864061146591e-16,0.0011452958404042067
-36.57428714357179,1.9572820730428687e-16,2.3520280373540355e-16,1.9572820730428687e-16,0.0011517400452118849,2.61519201356148e-16,0.0011007599385881456,2.088864061146591e-16,2.4836100254577575e-16,2.088864061146591e-16,0.0011525589896954778,2.8783559897689243e-16,0.0011016780220024698
